domain,title,relevance,urlRelevance,humanRelevance
www.smp.se,,9,,9
www.dagensmedia.se,,9,,9
www.bt.se,,8,,8
www.pitea-tidningen.se,,8,,8
blogg.laholmstidning.se,,8,,8
bloggar.capdesign.idg.se,,8,,8
www.omvarlden.se,,8,,8
dagensindustri.se,,8,,8
journalisten.se,,8,,8
info.gp.se,,8,,8
www.askersund.se,,8,,-1
arbetaren.se,,8,,8
blogg.dn.se,,8,,8
bloggar.ekuriren.se,,8,,8
www.barometern.se,,8,,8
blogg.sydsvenskan.se,,7,,7
www.etn.se,,7,,7
sormlandsbygden.se,,7,,7
,,,,
www.stockholmstidningen.se,,7,,7
www.medievarlden.se,,7,,7
www.olandsbladet.se,,7,,7
goteborg.etc.se,,7,,7
www.travelnews.se,,7,,7
blogg.trelleborgsallehanda.se,,7,,7
blogg.ystadsallehanda.se,,7,,7
,,,,
macworld.idg.se,,7,,7
www.helagotland.se,,7,,7
svenskjakt.se,,7,,-1
,,,,
nwt.se,,7,,7
blogg.kristianstadsbladet.se,,7,,7
www.affarsvarlden.se,,7,,7
,,,,
bloggar.kkuriren.se,,7,,7
,,,,
,,,,
www.dagensnaringsliv.se,,7,,7
www.lag-avtal.se,,7,,7
,,,,
,,,,
,,,,
vastmanlandsnyheter.se,,7,,7
,,,,
itivarden.idg.se,,7,,7
orebroarn.se,,7,,7
,,,,
,,,,
www.ka.se,,7,,7
helsingborg.lokaltidningen.se,,7,,7
www.svb.se,,7,,7
www.nyteknik.se,,7,,7
www.lakarkarriar.se,,7,,-1
sodertaljeposten.se,,7,,-1
old.alingsastidning.se,,7,,7
www.skanskan.se,,6,,6
,,,,
www.nsd.se,,6,,6
,,,,
mariestadstidningen.se,,6,,6
www.varbergsposten.se,,6,,6
,,,,
8sidor.se,,6,,6
,,,,
,,,,
,,,,
affarsnyttnorr.se,,6,,6
avskalad.se,,6,,-1
,,,,
alvesta.lokaltidningen.se,,6,,-1
stockholm.lny.se,,6,,6
nyheter24.se,,6,,6
lagfarter.nsk.se,,6,,6
,,,,
www.da.se,,6,,6
www.folketplus.se,,6,,6
www.fastighetsvarlden.se,,6,,6
,,,,
bors-nliv.svd.se,,6,,6
www.arenagruppen.se,,6,,6
dalabygden.se,,6,,6
hn.se,,6,,6
www.mariefredstidning.se,,6,,-1
hbwebben.se,,6,,6
www.arvidsjaur.se,,6,,-1
www.vt.se,,6,,6
,,,,
www.tcotidningen.se,,6,,6
gastriklandstidning.se,,6,,6
,,,,
www.vk.se,,6,,6
,,,,
www.sn.se,,6,,6
metrobusiness.se,,6,,-1
,,,,
,,,,
,,,,
www.direktpress.se,,6,,-1
computersweden.idg.se,,6,,6
www.vimmerbytidning.se,,6,,6
studio.idg.se,,6,,6
norrteljetidning.se,,6,,6
,,,,
www.firardags.se,,6,,-1
,,,,
,,,,
www.epochtimes.se,,6,,6
,,,,
expo.se,,6,,-1
,,,,
www.motorvarlden.se,,6,,-1
snowmobile.se,,6,,6
allavaljare.se,,6,,-1
,,,,
,,,,
www.sjofartstidningen.se,,6,,-1
fredrikstromberg.se,,6,,-1
lansposten.se,,6,,6
,,,,
www.skargarden.se,,6,,6
,,,,
www.sla.se,,6,,6
www.entreprenor.se,,6,,6
bloggar.itivarden.idg.se,,6,,
bisonblog.se,,6,,
www.arbetarskydd.se,,6,,
www.lararnasnyheter.se,,6,,
www.branschnyheter.se,,6,,
www.mvt.se,,6,,
www.lokaltidningensto.se,,6,,
www.expressen.se,,6,,
laholmstidning.se,,6,,
upplandsnyheter.se,,6,,
internetworld.idg.se,,6,,
toppmotet.se,,6,,
blogg.idg.se,,6,,
www.hallpressen.se,,6,,
www.realtid.se,,6,,
almedalen.dagensmedia.se,,6,,
www.tidningenvision.se,,6,,
kungsbacka.lny.se,,6,,
www.sundbybergsnytt.se,,6,,
www.linkopingstidning.se,,6,,
www.bokrondellen.se,,5,,
orebro.etc.se,,5,,
www.folkbladet.se,,5,,
magasinetneo.se,,5,,
larartidningar.se,,5,,
www.vastrauppland.se,,5,,
triathlon.runnersworld.se,,5,,
vimmerby.lny.se,,5,,
vastrauppland.se,,5,,
www.perwirten.se,,5,,
midsommarudden.blogspot.se,,5,,
www.unt.se,,5,,
na.se,,5,,
stromstadstidning.se,,5,,
byggcheferna.se,,5,,
karlskrona.lny.se,,5,,
kkuriren.se,,5,,
www.lifesciencesweden.se,,5,,
orebro.lny.se,,5,,
www.byggvarlden.se,,5,,
ttela.se,,5,,
tidningenelektrikern.se,,5,,
www.vetlandaposten.se,,5,,
www.mitti.se,,5,,
politikerbloggen.tv4.se,,5,,
liv.se,,5,,
digmar.dagensmedia.se,,5,,
www.ja.se,,5,,
ja.se,,5,,
linkoping.lny.se,,5,,
resor.mariestadstidningen.se,,5,,
viityreso.se,,5,,
www.scb.se,,5,,
itbranschen.idg.se,,5,,
www.womenshealth.se,,5,,
www.affarerinorr.se,,5,,
fmsj.se,,5,,
ljungby.lokaltidningen.se,,5,,
www.hobby.se,,5,,
www.vastgotabladet.se,,5,,
lindalindorff.blogg.tv4.se,,5,,
blogg.tkj.se,,5,,
www.ser.se,,5,,
omvarlden.citat.se,,5,,
ystad.lny.se,,5,,
www.varnamonyheter.se,,5,,
auktioner.expressen.se,,5,,
hobby.se,,5,,
mors-och-farsdag.vimmerbytidning.se,,5,,
prenumerera.sydsvenskan.se,,5,,
olyckan.arbetarskydd.se,,5,,
www.maskinstationerna.se,,5,,
dicktofon.se,,5,,
lulea.lny.se,,5,,
sveajordskog.se,,5,,
goteborg.lny.se,,5,,
www.byggcheferna.se,,5,,
skelleftea.lny.se,,5,,
karlshamn.lny.se,,5,,
www.jonkopingsposten.se,,5,,
www.hemstilat.se,,5,,
wikegard.blogg.tv4.se,,5,,
cannes.dagensmedia.se,,5,,
nybro.lny.se,,5,,
