domain, relevance, urlRelevance, humanRelevance
friatidningen.se, 24, 2,  
lokaltidningen.se, 24, 2,  
vastmanlandsnyheter.se, 7, 0, 7 
gastriklandstidning.se, 6, 0, 6 
malarnasfacktidning.se, 15, ,  
utebliventidning.se, 12, ,  
dagensmedia.se, 9, 0,  
arbetaren.se, 8, 0, 8 
pitea-tidningen.se, 8, 2,  
askersund.se, 8, ,  
stockholmstidningen.se, 7, ,  
conventusmedia.se, 7, ,  
lakarkarriar.se, 7, ,  
sydsvenskan.se, 7, 1,  
gp.se, 7, ,  
sormlandsbygden.se, 7, 0, 7 
sodertaljeposten.se, 7, ,  
dagensnaringsliv.se, 7, ,  
dalabygden.se, 6, 0, 6 
nwt.se, 7, 0, 7 
nsd.se, 6, 0,  
tidningenvision.se, 6, ,  
arvidsjaur.se, 6, ,  
skargarden.se, 6, ,  
lansposten.se, 6, 0, 6 
entreprenor.se, 6, 0, 6 
medievarlden.se, 6, ,  
sundbybergsnytt.se, 6, 0,  
lararnasnyheter.se, 6, ,  
upplandsnyheter.se, 6, ,  
mvt.se, 6, 1,  
dn.se, 6, 0,  
branschnyheter.se, 6, 1,  
kyrkanstidning.se, 5, ,  
tkj.se, 5, 0,  
sn.se, 5, ,  
judiskkronika.se, 5, ,  
na.se, 5, ,  
scb.se, 5, ,  
mitti.se, 5, 0,  
svenskkyrkotidning.se, 5, ,  
mariefredstidning.se, 5, ,  
byggvarlden.se, 5, ,  
kkuriren.se, 5, ,  
epochtimes.se, 5, ,  
mediapromotion.se, 5, ,  
spraktidningen.se, 5, ,  
byggcheferna.se, 5, ,  
expressen.se, 5, 0,  
varldenidag.se, 5, 0,  
tidningenelektrikern.se, 5, ,  
skinnskatteberg.se, 5, 0,  
ovanaker.se, 5, ,  
bjurholmsguiden.se, 5, ,  
svd.se, 5, 0,  
sveajordskog.se, 5, ,  
norrauppland.se, 5, 1,  
signum.se, 5, ,  
dagensfastigheter.se, 5, ,  
unt.se, 5, 0,  
citat.se, 5, ,  
linkopingstidning.se, 5, ,  
blogspot.se, 5, ,  
hemstilat.se, 5, 0,  
textalk.se, 4, ,  
infrastrukturnyheter.se, 4, ,  
arjeplognytt.se, 4, 0,  
inredningsnyheter.se, 4, ,  
moderat.se, 4, ,  
sak.se, 4, 0,  
dagensseglora.se, 4, ,  
tidningskungen.se, 4, ,  
fagersta-posten.se, 4, 0,  
underhallsnyheter.se, 4, ,  
maskinochverkstad.se, 4, ,  
nyhetsdatabasen.se, 4, ,  
vi-tidningen.se, 4, ,  
byggnyheter.se, 4, ,  
transportochlogistik.se, 4, ,  
metallerochgruvor.se, 4, ,  
industrinyheter.se, 4, ,  
nyhetsportalen.se, 4, ,  
sydnarkenytt.se, 4, ,  
lny.se, 4, ,  
fixturlaser.se, 4, ,  
falkopingstidning.se, 4, 1,  
vindkraftsnyheter.se, 4, ,  
nordanstig.se, 4, ,  
cinemafrica.se, 4, ,  
sundbyberg.se, 4, ,  
astorforlag.se, 4, ,  
nykvarn.se, 4, ,  
energinyheter.se, 4, ,  
magazin24.se, 4, ,  
kulturnattenuppsala.se, 4, ,  
jarnvagsnyheter.se, 4, ,  
vlt.se, 4, ,  
dinlt.se, 4, ,  
lt.se, 4, ,  
rivista.se, 4, ,  
bloggplatsen.se, 4, ,  
vingaker.se, 3, ,  
netdoktor.se, 3, ,  
kalmarlansmuseum.se, 3, ,  
kopstrak-sundbyberg.se, 3, ,  
krokom.se, 3, ,  
helsingevatten.se, 3, ,  
boktoka.se, 3, ,  
soderhamn.se, 3, ,  
tidningenbrand.se, 3, ,  
100procentostersund.se, 3, ,  
nyahassesnynshamn.se, 3, ,  
gu.se, 3, ,  
svanteweylerbokforlag.se, 3, ,  
tidningenextra.se, 3, ,  
berg.se, 3, ,  
bokbrus.se, 3, ,  
arjeplogarn.se, 3, ,  
fordonsnyheter.se, 3, ,  
tidningenkulturen.se, 3, ,  
dotunited.se, 3, ,  
taffel.se, 3, ,  
fireworm.se, 3, ,  
helalf.se, 3, ,  
safetrack.se, 3, ,  
genus.se, 3, ,  
blisk.se, 3, ,  
blogg.se, 3, ,  
sverigesradio.se, 3, ,  
sunne.se, 3, ,  
a4.se, 3, ,  
ooofbok.se, 3, ,  
malareforbundet.se, 2, ,  
gester.se, 2, ,  
upplevnordanstig.se, 2, ,  
bloggproffs.se, 2, ,  
modernista.se, 2, ,  
inslag.se, 2, ,  
soderenergi.se, 2, ,  
ersatz.se, 2, ,  
skatteverket.se, 2, ,  
salem.se, 2, ,  
ts.se, 2, ,  
hallstahammar.se, 2, ,  
swedac.se, 2, ,  
arijankan.se, 2, ,  
monstersteffa.se, 2, ,  
regeringen.se, 2, ,  
talentum.se, 2, 0,  
ettlysandenamn.se, 2, ,  
s-info.se, 2, ,  
maritima.se, 2, ,  
exac.se, 2, ,  
ncc.se, 2, ,  
tidskriftenevangelium.se, 2, ,  
surahammar.se, 2, ,  
direktpress.se, 2, ,  
thebookpond.se, 2, ,  
sef.se, 2, 0,  
modecenter.se, 2, ,  
stockholm.se, 2, ,  
jensholm.se, 2, ,  
osbyparca.se, 2, ,  
spminstrument.se, 2, 0,  
oxeloenergi.se, 2, ,  
lindesberg.se, 2, ,  
sweheat.se, 2, ,  
s-forum.se, 2, ,  
hjak.se, 2, ,  
eljester.se, 2, ,  
grona-partiet.se, 2, ,  
sormland.se, 2, ,  
vaxholm.se, 2, ,  
oxhamn.se, 2, ,  
svt.se, 2, ,  
preciousfair.se, 2, ,  
magnuscallmyr.se, 2, ,  
jokkmokk.se, 2, ,  
arons.se, 2, ,  
jinge.se, 2, ,  
certex.se, 1, ,  
theflyingelk.se, 1, ,  
institutetmotmutor.se, 1, ,  
inthekitchen.se, 1, ,  
peab.se, 1, ,  
riksbyggen.se, 1, ,  
christianmolk.se, 1, ,  
nynashamn.se, 1, ,  
kaeser.se, 1, ,  
s-bloggar.se, 1, ,  
sydsvenskangruppen.se, 1, ,  
bloggagratis.se, 1, ,  
rorvikshus.se, 1, ,  
svenskabrukarforeningen.se, 1, ,  
norberg.se, 1, ,  
garo.se, 1, ,  
naturensbasta.se, 1, ,  
